title,issn,publisher,subjectAreas,licenseAgreement,oaModel
Vikalpa,2395-3799,Sage,,None,Gold
Women's Health,1745-5065,Sage,,40%,Gold
Young,2154-400X,Sage,,None,Gold
Academic Pediatrics,1876-2859,Elsevier,,100%,Hybrid
Accident Analysis & Prevention,0001-4575,Elsevier,,100%,Hybrid
"Accounting, Organizations and Society",0361-3682,Elsevier,,100%,Hybrid
Acta Astronautica,0094-5765,Elsevier,,100%,Hybrid
Acta Biomaterialia,1742-7061,Elsevier,,100%,Hybrid
Acta Ecologica Sinica,1872-2032,Elsevier,,100%,Hybrid
Acta Histochemica,0065-1281,Elsevier,,100%,Hybrid
Acta Materialia,1359-6454,Elsevier,,100%,Hybrid
Acta Oecologica,1146-609X,Elsevier,,100%,Hybrid
Acta Otorrinolaringológica (English Edition),2173-5735,Elsevier,,100%,Hybrid
Acta Tropica,0001-706X,Elsevier,,100%,Hybrid
Actas Urológicas Españolas (English Edition),2173-5786,Elsevier,,100%,Hybrid
Ad Hoc Networks,1570-8705,Elsevier,,100%,Hybrid
Addictive Behaviors,0306-4603,Elsevier,,100%,Hybrid
Additive Manufacturing,2214-8604,Elsevier,,100%,Hybrid
Advanced Drug Delivery Reviews,0169-409X,Elsevier,,100%,Hybrid
Advanced Engineering Informatics,1474-0346,Elsevier,,100%,Hybrid
Advanced Powder Technology,0921-8831,Elsevier,,100%,Hybrid
Advances in Accounting,0882-6110,Elsevier,,100%,Hybrid
Advances in Applied Mathematics,0196-8858,Elsevier,,100%,Hybrid
Advances in Biological Regulation,2212-4926,Elsevier,,100%,Hybrid
Advances in Colloid and Interface Science,0001-8686,Elsevier,,100%,Hybrid
Advances in Engineering Software,0965-9978,Elsevier,,100%,Hybrid
Advances in Integrative Medicine,2212-9588,Elsevier,,100%,Hybrid
Advances in Life Course Research,1040-2608,Elsevier,,100%,Hybrid
Advances in Mathematics,0001-8708,Elsevier,,100%,Hybrid
Advances in Medical Sciences,1896-1126,Elsevier,,100%,Hybrid
Advances in Space Research,0273-1177,Elsevier,,100%,Hybrid
Advances in Water Resources,0309-1708,Elsevier,,100%,Hybrid
Aeolian Research,1875-9637,Elsevier,,100%,Hybrid
Aerospace Science and Technology,1270-9638,Elsevier,,100%,Hybrid
AEÜ - International Journal of Electronics and Communications,1434-8411,Elsevier,,100%,Hybrid
Ageing Research Reviews,1568-1637,Elsevier,,100%,Hybrid
Aggression and Violent Behavior,1359-1789,Elsevier,,100%,Hybrid
Agricultural and Forest Meteorology,0168-1923,Elsevier,,100%,Hybrid
Agricultural Systems,0308-521X,Elsevier,,100%,Hybrid
"Agriculture, Ecosystems & Environment",0167-8809,Elsevier,,100%,Hybrid
Air Medical Journal,1067-991X,Elsevier,,100%,Hybrid
AJO-DO Clinical Companion,2666-4305,Elsevier,,100%,Hybrid
Alcohol,0741-8329,Elsevier,,100%,Hybrid
Algal Research,2211-9264,Elsevier,,100%,Hybrid
American Heart Journal,0002-8703,Elsevier,,100%,Hybrid
American Journal of Emergency Medicine,0735-6757,Elsevier,,100%,Hybrid
American Journal of Infection Control,0196-6553,Elsevier,,100%,Hybrid
American Journal of Obstetrics & Gynecology,0002-9378,Elsevier,,100%,Hybrid
American Journal of Obstetrics & Gynecology MFM,2589-9333,Elsevier,,100%,Hybrid
American Journal of Ophthalmology,0002-9394,Elsevier,,100%,Hybrid
American Journal of Orthodontics and Dentofacial Orthopedics,0889-5406,Elsevier,,100%,Hybrid
American Journal of Otolaryngology,0196-0709,Elsevier,,100%,Hybrid
American Journal of Preventive Medicine,0749-3797,Elsevier,,100%,Hybrid
Anaerobe,1075-9964,Elsevier,,100%,Hybrid
Anaesthesia Critical Care & Pain Medicine,2352-5568,Elsevier,,100%,Hybrid
Analytic Methods in Accident Research,2213-6657,Elsevier,,100%,Hybrid
Analytica Chimica Acta,0003-2670,Elsevier,,100%,Hybrid
Analytical Biochemistry,0003-2697,Elsevier,,100%,Hybrid
Animal Behaviour,0003-3472,Elsevier,,100%,Hybrid
Animal Feed Science and Technology,0377-8401,Elsevier,,100%,Hybrid
Animal Gene,2352-4065,Elsevier,,100%,Hybrid
Animal Reproduction Science,0378-4320,Elsevier,,100%,Hybrid
Annales de Chirurgie Plastique Esthétique,0294-1260,Elsevier,,100%,Hybrid
Annales de Dermatologie et de Vénéréologie,0151-9638,Elsevier,,100%,Hybrid
Annales d'Endocrinologie,0003-4266,Elsevier,,100%,Hybrid
Annales Médico-Psychologiques,0003-4487,Elsevier,,100%,Hybrid
Annals of Anatomy,0940-9602,Elsevier,,100%,Hybrid
Annals of Diagnostic Pathology,1092-9134,Elsevier,,100%,Hybrid
Annals of Emergency Medicine,0196-0644,Elsevier,,100%,Hybrid
Annals of Epidemiology,1047-2797,Elsevier,,100%,Hybrid
Annals of Nuclear Energy,0306-4549,Elsevier,,100%,Hybrid
Annals of Physical and Rehabilitation Medicine,1877-0657,Elsevier,,100%,Hybrid
Annals of Physics,0003-4916,Elsevier,,100%,Hybrid
Annals of Pure and Applied Logic,0168-0072,Elsevier,,100%,Hybrid
Annals of Tourism Research,0160-7383,Elsevier,,100%,Hybrid
Annual Reviews in Control,1367-5788,Elsevier,,100%,Hybrid
Anthropocene,2213-3054,Elsevier,,100%,Hybrid
Antiviral Research,0166-3542,Elsevier,,100%,Hybrid
Appetite,0195-6663,Elsevier,,100%,Hybrid
Applied Acoustics,0003-682X,Elsevier,,100%,Hybrid
Applied and Computational Harmonic Analysis,1063-5203,Elsevier,,100%,Hybrid
Applied Animal Behaviour Science,0168-1591,Elsevier,,100%,Hybrid
Applied Catalysis A: General,0926-860X,Elsevier,,100%,Hybrid
Applied Catalysis B: Environment and Energy,0926-3373,Elsevier,,100%,Hybrid
Applied Clay Science,0169-1317,Elsevier,,100%,Hybrid
Applied Corpus Linguistics,2666-7991,Elsevier,,100%,Hybrid
Applied Energy,0306-2619,Elsevier,,100%,Hybrid
Applied Ergonomics,0003-6870,Elsevier,,100%,Hybrid
Applied Geochemistry,0883-2927,Elsevier,,100%,Hybrid
Applied Geography,0143-6228,Elsevier,,100%,Hybrid
Applied Materials Today,2352-9407,Elsevier,,100%,Hybrid
Applied Mathematical Modelling,0307-904X,Elsevier,,100%,Hybrid
Applied Mathematics and Computation,0096-3003,Elsevier,,100%,Hybrid
Applied Mathematics Letters,0893-9659,Elsevier,,100%,Hybrid
Applied Numerical Mathematics,0168-9274,Elsevier,,100%,Hybrid
Applied Nursing Research,0897-1897,Elsevier,,100%,Hybrid
Applied Ocean Research,0141-1187,Elsevier,,100%,Hybrid
Applied Radiation and Isotopes,0969-8043,Elsevier,,100%,Hybrid
Applied Soft Computing,1568-4946,Elsevier,,100%,Hybrid
Applied Soil Ecology,0929-1393,Elsevier,,100%,Hybrid
Applied Surface Science,0169-4332,Elsevier,,100%,Hybrid
Applied Thermal Engineering,1359-4311,Elsevier,,100%,Hybrid
Aquacultural Engineering,0144-8609,Elsevier,,100%,Hybrid
Aquaculture,0044-8486,Elsevier,,100%,Hybrid
Aquatic Botany,0304-3770,Elsevier,,100%,Hybrid
Aquatic Toxicology,0166-445X,Elsevier,,100%,Hybrid
Arab Journal of Gastroenterology,1687-1979,Elsevier,,100%,Hybrid
Archaeological Research in Asia,2352-2267,Elsevier,,100%,Hybrid
Archives de Pédiatrie,0929-693X,Elsevier,,100%,Hybrid
Archives of Biochemistry and Biophysics,0003-9861,Elsevier,,100%,Hybrid
Archives of Cardiovascular Diseases,1875-2136,Elsevier,,100%,Hybrid
Archives of Gerontology and Geriatrics,0167-4943,Elsevier,,100%,Hybrid
Archives of Medical Research,0188-4409,Elsevier,,100%,Hybrid
Archives of Oral Biology,0003-9969,Elsevier,,100%,Hybrid
Archives of Psychiatric Nursing,0883-9417,Elsevier,,100%,Hybrid
Archivos de Bronconeumología,0300-2896,Elsevier,,100%,Hybrid
Archivos de la Sociedad Española de Oftalmología (English Edition),2173-5794,Elsevier,,100%,Hybrid
Arthropod Structure & Development,1467-8039,Elsevier,,100%,Hybrid
Artificial Intelligence,0004-3702,Elsevier,,100%,Hybrid
Artificial Intelligence in Medicine,0933-3657,Elsevier,,100%,Hybrid
Asian Journal of Psychiatry,1876-2018,Elsevier,,100%,Hybrid
Asian Journal of Social Science,1568-4849,Elsevier,,100%,Hybrid
Assessing Writing,1075-2935,Elsevier,,100%,Hybrid
Astronomy and Computing,2213-1337,Elsevier,,100%,Hybrid
Astroparticle Physics,0927-6505,Elsevier,,100%,Hybrid
Atherosclerosis,0021-9150,Elsevier,,100%,Hybrid
Atmospheric Environment,1352-2310,Elsevier,,100%,Hybrid
Atmospheric Pollution Research,1309-1042,Elsevier,,100%,Hybrid
Atmospheric Research,0169-8095,Elsevier,,100%,Hybrid
Atomic Data and Nuclear Data Tables,0092-640X,Elsevier,,100%,Hybrid
Australasian Emergency Care,2588-994X,Elsevier,,100%,Hybrid
Australian Critical Care,1036-7314,Elsevier,,100%,Hybrid
Autoimmunity Reviews,1568-9972,Elsevier,,100%,Hybrid
Automatica,0005-1098,Elsevier,,100%,Hybrid
Automation in Construction,0926-5805,Elsevier,,100%,Hybrid
Autonomic Neuroscience: Basic and Clinical,1566-0702,Elsevier,,100%,Hybrid
Behavior Therapy,0005-7894,Elsevier,,100%,Hybrid
Behaviour Research and Therapy,0005-7967,Elsevier,,100%,Hybrid
Behavioural Brain Research,0166-4328,Elsevier,,100%,Hybrid
Behavioural Processes,0376-6357,Elsevier,,100%,Hybrid
Best Practice & Research Clinical Anaesthesiology,1521-6896,Elsevier,,100%,Hybrid
Best Practice & Research Clinical Endocrinology & Metabolism,1521-690X,Elsevier,,100%,Hybrid
Best Practice & Research Clinical Gastroenterology,1521-6918,Elsevier,,100%,Hybrid
Best Practice & Research Clinical Haematology,1521-6926,Elsevier,,100%,Hybrid
Best Practice & Research Clinical Obstetrics & Gynaecology,1521-6934,Elsevier,,100%,Hybrid
Best Practice & Research Clinical Rheumatology,1521-6942,Elsevier,,100%,Hybrid
Big Data Research,2214-5796,Elsevier,,100%,Hybrid
Bioactive Carbohydrates and Dietary Fibre,2212-6198,Elsevier,,100%,Hybrid
Biocatalysis and Agricultural Biotechnology,1878-8181,Elsevier,,100%,Hybrid
Biochemical and Biophysical Research Communications,0006-291X,Elsevier,,100%,Hybrid
Biochemical Engineering Journal,1369-703X,Elsevier,,100%,Hybrid
Biochemical Pharmacology,0006-2952,Elsevier,,100%,Hybrid
Biochemical Systematics and Ecology,0305-1978,Elsevier,,100%,Hybrid
Biochimica et Biophysica Acta: Bioenergetics,0005-2728,Elsevier,,100%,Hybrid
Biochimica et Biophysica Acta: Biomembranes,0005-2736,Elsevier,,100%,Hybrid
Biochimica et Biophysica Acta: Gene Regulatory Mechanisms,1874-9399,Elsevier,,100%,Hybrid
Biochimica et Biophysica Acta: General Subjects,0304-4165,Elsevier,,100%,Hybrid
Biochimica et Biophysica Acta: Molecular and Cell Biology of Lipids,1388-1981,Elsevier,,100%,Hybrid
Biochimica et Biophysica Acta: Molecular Basis of Disease,0925-4439,Elsevier,,100%,Hybrid
Biochimica et Biophysica Acta: Molecular Cell Research,0167-4889,Elsevier,,100%,Hybrid
Biochimica et Biophysica Acta: Proteins and Proteomics,1570-9639,Elsevier,,100%,Hybrid
Biochimica et Biophysica Acta: Reviews on Cancer,0304-419X,Elsevier,,100%,Hybrid
Biochimie,0300-9084,Elsevier,,100%,Hybrid
Biocybernetics and Biomedical Engineering,0208-5216,Elsevier,,100%,Hybrid
Bioelectrochemistry,1567-5394,Elsevier,,100%,Hybrid
Biological Conservation,0006-3207,Elsevier,,100%,Hybrid
Biological Psychiatry,0006-3223,Elsevier,,100%,Hybrid
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,2451-9022,Elsevier,,100%,Hybrid
Biological Psychology,0301-0511,Elsevier,,100%,Hybrid
Biologicals,1045-1056,Elsevier,,100%,Hybrid
Biomass & Bioenergy,0961-9534,Elsevier,,100%,Hybrid
Biomaterials,0142-9612,Elsevier,,100%,Hybrid
Biomaterials Advances,2772-9508,Elsevier,,100%,Hybrid
Biomedical Signal Processing and Control,1746-8094,Elsevier,,100%,Hybrid
Bioorganic & Medicinal Chemistry,0968-0896,Elsevier,,100%,Hybrid
Bioorganic & Medicinal Chemistry Letters,0960-894X,Elsevier,,100%,Hybrid
Bioorganic Chemistry,0045-2068,Elsevier,,100%,Hybrid
Biophysical Chemistry,0301-4622,Elsevier,,100%,Hybrid
Bioprinting,2405-8866,Elsevier,,100%,Hybrid
Bioresource Technology,0960-8524,Elsevier,,100%,Hybrid
Bioresource Technology Reports,2589-014X,Elsevier,,100%,Hybrid
Biosensors and Bioelectronics,0956-5663,Elsevier,,100%,Hybrid
BioSystems,0303-2647,Elsevier,,100%,Hybrid
Biosystems Engineering,1537-5110,Elsevier,,100%,Hybrid
Biotechnology Advances,0734-9750,Elsevier,,100%,Hybrid
Biotribology,2352-5738,Elsevier,,100%,Hybrid
"Blood Cells, Molecules and Diseases",1079-9796,Elsevier,,100%,Hybrid
Blood Reviews,0268-960X,Elsevier,,100%,Hybrid
Body Image,1740-1445,Elsevier,,100%,Hybrid
Bone,8756-3282,Elsevier,,100%,Hybrid
Brain & Development,0387-7604,Elsevier,,100%,Hybrid
Brain and Cognition,0278-2626,Elsevier,,100%,Hybrid
Brain and Language,0093-934X,Elsevier,,100%,Hybrid
Brain Research,0006-8993,Elsevier,,100%,Hybrid
"Brain, Behavior, and Immunity",0889-1591,Elsevier,,100%,Hybrid
Brazilian Journal of Physical Therapy,1413-3555,Elsevier,,100%,Hybrid
British Journal of Oral and Maxillofacial Surgery,0266-4356,Elsevier,,100%,Hybrid
Building and Environment,0360-1323,Elsevier,,100%,Hybrid
Bulletin des Sciences Mathématiques,0007-4497,Elsevier,,100%,Hybrid
Burns,0305-4179,Elsevier,,100%,Hybrid
Business Horizons,0007-6813,Elsevier,,100%,Hybrid
Calphad,0364-5916,Elsevier,,100%,Hybrid
Canadian Journal of Cardiology,0828-282X,Elsevier,,100%,Hybrid
Canadian Journal of Diabetes,1499-2671,Elsevier,,100%,Hybrid
Canadian Journal of Ophthalmology,0008-4182,Elsevier,,100%,Hybrid
Cancer Epidemiology,1877-7821,Elsevier,,100%,Hybrid
Cancer Genetics,2210-7762,Elsevier,,100%,Hybrid
Cancer Letters,0304-3835,Elsevier,,100%,Hybrid
Cancer Radiothérapie,1278-3218,Elsevier,,100%,Hybrid
Cancer Treatment Reviews,0305-7372,Elsevier,,100%,Hybrid
Carbohydrate Polymers,0144-8617,Elsevier,,100%,Hybrid
Carbohydrate Research,0008-6215,Elsevier,,100%,Hybrid
Carbon,0008-6223,Elsevier,,100%,Hybrid
Cardiovascular Pathology,1054-8807,Elsevier,,100%,Hybrid
Cardiovascular Revascularization Medicine,1553-8389,Elsevier,,100%,Hybrid
Case Studies on Transport Policy,2213-624X,Elsevier,,100%,Hybrid
